Q_match,C7_real,C7_img,C9_real,C9_img,C8_real,C8_img,C2_real,C2_img,C3_real,C3_img,C1_real,C1_img,C10_real,C10_img,C4_real,C4_img
200.000000,0.464802,0.008332,-0.543570,0.000000,-0.090661,0.005957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80.379000,-0.179784,0.011416,NaN,NaN,-0.090661,0.005957,-1.000252,-0.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81.000000,-0.179784,0.011416,NaN,NaN,-0.090661,0.005957,-1.000252,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
201.000000,0.464802,0.008332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
